epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1156.04,0.50029,0.33609,0.93097,0.00943,0.92207,0.94177,0.95228,0.68552,0.89218,0.42153,1.33745,0.00725,0.000508521,0.000508521,0.000508521
38,1186.7,0.49895,0.33448,0.93356,0.00904,0.94469,0.94059,0.96202,0.69665,0.88695,0.40492,1.33509,0.00777,0.000504119,0.000504119,0.000504119
39,1216.96,0.4862,0.32836,0.92467,0.00826,0.95607,0.92525,0.95925,0.6895,0.90952,0.41274,1.35586,0.00743,0.000499716,0.000499716,0.000499716
40,1247.38,0.48017,0.32581,0.9226,0.0081,0.9444,0.92677,0.95273,0.691,0.88684,0.41172,1.32437,0.00689,0.000495314,0.000495314,0.000495314
41,1278.67,0.47999,0.32458,0.92406,0.00831,0.94565,0.93679,0.96011,0.69285,0.88468,0.40408,1.33991,0.00731,0.000490912,0.000490912,0.000490912
42,1309.48,0.47136,0.32222,0.91891,0.00876,0.9374,0.94356,0.95648,0.69548,0.87583,0.39898,1.33057,0.00719,0.00048651,0.00048651,0.00048651
43,1339.63,0.46902,0.31987,0.91551,0.00832,0.96072,0.91758,0.95231,0.68753,0.88485,0.4076,1.34739,0.00735,0.000482108,0.000482108,0.000482108
44,1369.35,0.46585,0.31452,0.91705,0.00806,0.93568,0.9472,0.95739,0.6893,0.89244,0.41551,1.35465,0.00765,0.000477705,0.000477705,0.000477705
45,1400.29,0.46419,0.31036,0.91744,0.00838,0.94999,0.91083,0.95115,0.68955,0.87924,0.41658,1.33175,0.00729,0.000473303,0.000473303,0.000473303
46,1431.48,0.45112,0.30981,0.91214,0.0081,0.9517,0.93147,0.9624,0.69965,0.87986,0.39556,1.34375,0.00753,0.000468901,0.000468901,0.000468901
47,1462.17,0.44804,0.3052,0.90934,0.00831,0.95819,0.92777,0.95963,0.69081,0.88136,0.3887,1.35445,0.00707,0.000464499,0.000464499,0.000464499
48,1492.25,0.44838,0.30843,0.90717,0.00827,0.92698,0.95544,0.96096,0.69337,0.88557,0.40332,1.34369,0.00777,0.000460097,0.000460097,0.000460097
49,1523.21,0.43626,0.29597,0.90418,0.00754,0.93907,0.92926,0.95835,0.69089,0.88776,0.41168,1.34976,0.00703,0.000455694,0.000455694,0.000455694
50,1554.75,0.439,0.30181,0.90343,0.0078,0.9504,0.93637,0.9597,0.68764,0.89428,0.40006,1.3641,0.00731,0.000451292,0.000451292,0.000451292
51,1585.03,0.43869,0.29668,0.90519,0.00772,0.94458,0.95075,0.95555,0.6911,0.88951,0.39571,1.35939,0.00705,0.00044689,0.00044689,0.00044689
52,547.578,0.42412,0.29086,0.89474,0.00735,0.94759,0.93374,0.95939,0.69322,0.89196,0.39773,1.36613,0.00723,0.000442488,0.000442488,0.000442488
53,573.113,0.41706,0.28808,0.89495,0.00746,0.93626,0.93685,0.9563,0.68666,0.89556,0.4115,1.37327,0.00678,0.000438086,0.000438086,0.000438086
54,600.514,0.40837,0.28644,0.88874,0.0076,0.93831,0.93345,0.95966,0.68699,0.91693,0.42483,1.4094,0.00695,0.000433683,0.000433683,0.000433683
55,628.318,0.40289,0.27801,0.88278,0.00677,0.95705,0.92821,0.96022,0.69415,0.89169,0.39645,1.36877,0.00662,0.000429281,0.000429281,0.000429281
56,654.67,0.40154,0.27986,0.88273,0.00743,0.94178,0.92698,0.96122,0.69485,0.88608,0.39424,1.36417,0.00738,0.000424879,0.000424879,0.000424879
57,680.997,0.40213,0.27856,0.8884,0.00666,0.92135,0.9512,0.95284,0.69013,0.88836,0.40354,1.37009,0.00768,0.000420477,0.000420477,0.000420477
58,708.291,0.3901,0.27254,0.87823,0.00698,0.9549,0.92414,0.95426,0.69421,0.88477,0.40196,1.37626,0.00781,0.000416075,0.000416075,0.000416075
59,735.813,0.40038,0.27565,0.88116,0.00692,0.9279,0.95474,0.95848,0.68853,0.90557,0.39648,1.40084,0.00727,0.000411672,0.000411672,0.000411672
60,760.825,0.39651,0.27479,0.88028,0.00705,0.93186,0.94351,0.95753,0.69566,0.89364,0.40102,1.38803,0.00757,0.00040727,0.00040727,0.00040727
61,788.146,0.38683,0.27007,0.87529,0.00623,0.94697,0.92615,0.95808,0.69236,0.90993,0.4054,1.41144,0.00703,0.000402868,0.000402868,0.000402868
